filename,tokens,ner_tags
2731260-Kavita-Patel.pdf,124,B-QUANTITY
2731260-Kavita-Patel.pdf,560095,B-QUANTITY
2731260-Kavita-Patel.pdf,2731260,B-INVOICE_NUMBER
2731260-Kavita-Patel.pdf,10/12/2023,B-INVOICE_DATE
2731260-Kavita-Patel.pdf,88,B-QUANTITY
2731260-Kavita-Patel.pdf,Avenue,B-VENDOR_ADDRESS
2731260-Kavita-Patel.pdf,8380,B-QUANTITY
2731260-Kavita-Patel.pdf,Amount,B-AMOUNT
2731260-Kavita-Patel.pdf,2,B-QUANTITY
2731260-Kavita-Patel.pdf,2,B-QUANTITY
2731260-Kavita-Patel.pdf,Subtotal,B-SUBTOTAL
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,28,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,28AJHCU1234L1ZA,B-GSTIN
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,39787,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,25-11-2021,B-INVOICE_DATE
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,3888,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,73,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,23-11-2021,B-INVOICE_DATE
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,5984,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,25-11-2021,B-INVOICE_DATE
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,9855902017,B-INVOICE_NUMBER
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,deepapatel@gmail.com,B-VENDOR_EMAIL
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,24GRZOB1843N1Z5,B-GSTIN
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,1,B-QUANTITY
PerfectVisionInvoice_2024-07-08_18-33-16_45.pdf,2,B-QUANTITY
